1,1,"0,0003855134"
2,2,"2,48E-05"
3,3,"0,0355518227"
4,4,"0,0023202543"
5,5,"0,0015874742"
6,6,"0,0120564515"
7,7,"0,0058100221"
8,8,"0,1932670623"
8,8,"0,0777118394"
",",9,"0,7181271506"
9,9,"0,0265254013"
10,10,"0,0004321185"
11,11,"6,10E-05"
12,12,"5,45E-05"
13,13,"0,0009453166"
14,14,"0,0050444033"
15,15,"0,010079925"
16,16,"0,0007586442"
17,17,"0,1048892645"
18,18,"0,000719498"
19,19,"0,0110702107"
20,20,"0,0013867076"
21,21,"0,0008776668"
22,22,"0,000105146"
23,23,"0,0004644687"
24,24,"0,0266513793"
25,25,"0,0571983664"
26,26,"0,0092700561"
27,27,"0,0039972313"
28,28,"0,0002870333"
29,29,"0,000698288"
30,30,"0,0012903674"
31,31,"0,0102900151"
32,32,"0,0276956728"
33,33,"0,016778507"
34,34,"0,0009476601"
35,35,"0,0038122516"
36,36,"0,0371272273"
37,37,"0,0140004524"
38,38,"0,0010531542"
39,39,"0,0007695732"
40,40,"0,0016866343"
"C1",41,"0,6714302601"
41,41,"0,0118330354"
42,42,"0,0076473476"
43,43,"0,292366816"
44,44,"0,0521666609"
45,45,"0,0025056322"
46,46,"0,7164706839"
47,47,"0,1235410315"
48,48,"0,0154049311"
49,49,"0,0061265481"
50,50,"0,0040241505"
51,51,"0,1267135331"
52,52,"0,0045654267"
53,53,"0,3771294083"
54,54,"0,0056547722"
55,55,"0,1431392841"
56,56,"0,0053254836"
57,57,"0,2212642257"
58,58,"0,013582584"
59,59,"0,0785680656"
60,60,"0,0013827543"
61,61,"0,00017906"
62,62,"0,0005713417"
63,63,"0,000790416"
64,64,"0,0003747321"
65,65,"0,0462823072"
66,66,"0,0001338764"
67,67,"0,0184306879"
68,68,"0,0055387812"
69,69,"0,0005505189"
70,70,"0,0749855791"
71,71,"0,8897581646"
72,72,"0,087053859"
73,73,"0,0129893582"
74,74,"0,1295662653"
75,75,"0,0572298041"
76,76,"0,0965907872"
77,77,"0,2389638899"
78,78,"0,0684436502"
79,79,"0,041794057"
80,80,"0,1273979507"
81,81,"0,0514163753"
82,82,"0,1971627891"
83,83,"0,2251318446"
84,84,"0,3457570695"
87,87,"0,5865349494"
88,88,"0,0204799369"
89,89,"0,0660090074"
90,90,"0,0026169833"
91,91,"0,040540124"
92,92,"0,0125516815"
93,93,"0,008249603"
94,94,"0,0004204111"
"F5",95,"0,8390855196"
95,95,"0,338650775"
96,96,"0,0063583118"
97,97,"0,0243291575"
98,98,"0,0005563523"
"C9",99,"1,0196579536"
99,99,"0,0002079118"
100,100,"0,0005484438"
101,101,"6,00E-05"
102,102,"7,34E-05"
103,103,"3,67E-05"
104,104,"0,0016953722"
105,105,"0,0048315145"
106,106,"0,000568507"
107,107,"0,0020853867"
108,108,"0,0064539947"
109,109,"0,0108853827"
110,110,"6,95E-05"
111,111,"8,46E-05"
112,112,"3,50E-05"
113,113,"3,11E-05"
"A14",114,"0,4420752797"
114,114,"5,19E-05"
115,115,"0,0100408486"
116,116,"0,0119993739"
117,117,"0,0005821865"
118,118,"2,59E-05"
119,119,"0,00017632"
122,122,"0,0002405815"
123,123,"2,97E-05"
124,124,"0,0002507189"
125,125,"0,0042362548"
126,126,"0,0005947554"
127,127,"0,0090122119"
128,128,"3,19E-05"
129,129,"3,55E-05"
130,130,"0,0004263982"
131,131,"0,0008095426"
"K 137",137,"1,0415686527"
"K 138",138,"0,072254897"
138,138,"6,03E-05"
"K 139",139,"0,7817213279"
139,139,"0,0032938318"
140,140,"0,0003427018"
141,141,"0,0038784021"
142,142,"7,70E-05"
143,143,"5,60E-05"
144,144,"0,0001316152"
145,145,"0,0040631917"
146,146,"0,0017340455"
147,147,"0,0063587208"
160,160,"7,15E-05"
174,174,"0,0233955572"
176,176,"0,0066688277"
177,177,"0,0307560938"
202,202,"2,77E-05"
"A10",210,"0,0318306898"
"B10",210,"0,027556509"
"B14",214,"0,86102146"
"B18",218,"0,6870319855"
"A18",218,"0,3271136858"
"B20",220,"0,0368035728"
"A20",220,"0,0085657918"
"A24",224,"0,1077280096"
"B24",224,"0,0441584872"
"A25",225,"0,9861436572"
"B26",226,"0,8451361042"
"A26",226,"0,4417645535"
"A27",227,"0,7665361315"
"A28",228,"0,0168163538"
"A29",229,"0,2959009141"
262,262,"0,0001951641"
430,430,"0,001263776"
"A15",615,"0,6924230931"
702,702,"0,0080337222"
"A03",703,"0,6384915935"
714,714,"0,0402156451"
790,790,"0,0150672096"
"A04",904,"0,9141184735"
"A08",908,"0,7284976617"
"A11",911,"0,511191707"
1156,1156,"0,0349461412"
"320,1",32041,"0,972524205"
"327,9",32779,"0,273507326"
"337,8",33778,"1,0249899072"
".",".","0,5458403146"
"""Автобат""","""Автобат""","0,0036070594"
"""Амстор""","""Амстор""","0,0746630138"
"""АНТ ЛТД""","""АНТ ЛТД""","0,4920561929"
"""Белинда""","""Белинда""","0,0016826338"
"""Берёзка""","""Березка""","0,1921843492"
"""Большой хаос""","""Большой хаос""","0,3396275642"
"""Велике урочище""","""Великое урочище""","0,0828898428"
"""Вторая"" криница","""Вторая"" криница","0,0412360732"
"""генеральские пляжи""","""генеральские пляжи""","0,0104639791"
"""Гнилий Луг""","""Гнилый Луг""","0,805055593"
"""Девятка""","""Девятка""","0,0062114827"
"""Детский пляж""","""Детский пляж""","0,0512884427"
"""Комсомольский"" ставок","""Комсомольский"" ставок","0,5262270849"
"""Кременмаш""","""Кременмаш""","0,0002219858"
"""Лагерський""","""Лагерский""","0,1333551178"
"""Маяк"" гаражний кооператив","""Маяк"" гаражный кооператив","0,0566105504"
"""Мертвое"" озеро","""Мертвое озеро","0,0643181773"
"""Молодёжный Парк""","""Молодёжный Парк""","0,5150267285"
"""Молочний""","""Молочный""","0,0004643887"
"""Морской конек"" пансионат","""Морской конет пансионат","0,8990961351"
"""М'ясний""","""Мясной""","0,0088415461"
